first_party_name,first_party,device,third_party,third_party_name,Tracking/Other,Category,consent,subscription
ChatGPT,"chatgpt.com, openai.com",mobile,android.chat.openai.com.cdn.cloudflare.net,First-party,Cloud/CDN,,No consent banner,Premium
ChatGPT,"chatgpt.com, openai.com",mobile,api.revenuecat.com,RevenueCat,Tracking,In-app Payments,No consent banner,Free
ChatGPT,"chatgpt.com, openai.com",mobile,api.revenuecat.com,RevenueCat,Tracking,In-app Payments,No consent banner,Premium
ChatGPT,"chatgpt.com, openai.com",mobile,auth.openai.com.cdn.cloudflare.net,First-party,Cloud/CDN,,No consent banner,Free
ChatGPT,"chatgpt.com, openai.com",mobile,auth.openai.com.cdn.cloudflare.net,First-party,Cloud/CDN,,No consent banner,Premium
ChatGPT,"chatgpt.com, openai.com",mobile,browser-intake-datadoghq.com,Datadog,Tracking,,No consent banner,No Auth
ChatGPT,"chatgpt.com, openai.com",mobile,browser-intake-datadoghq.com,Datadog,Tracking,,No consent banner,Free
ChatGPT,"chatgpt.com, openai.com",mobile,browser-intake-datadoghq.com,Datadog,Tracking,,No consent banner,Premium
ChatGPT,"chatgpt.com, openai.com",mobile,cdn.auth0.com,Auth0 Inc.,Tracking,Authentication,No consent banner,Free
ChatGPT,"chatgpt.com, openai.com",mobile,cdn.auth0.com,Auth0 Inc.,Tracking,Authentication,No consent banner,Premium
ChatGPT,"chatgpt.com, openai.com",mobile,cloudflare-dns.com,First-party,,,No consent banner,No Auth
ChatGPT,"chatgpt.com, openai.com",mobile,cloudflare-dns.com,First-party,,,No consent banner,Free
ChatGPT,"chatgpt.com, openai.com",mobile,cloudflare-dns.com,First-party,,,No consent banner,Premium
ChatGPT,"chatgpt.com, openai.com",mobile,firebaseinstallations.googleapis.com,Google Firebase,Tracking,Analytics and Advertising,No consent banner,No Auth
ChatGPT,"chatgpt.com, openai.com",mobile,firebaseinstallations.googleapis.com,Google Firebase,Tracking,Analytics and Advertising,No consent banner,Free
ChatGPT,"chatgpt.com, openai.com",mobile,firebaseinstallations.googleapis.com,Google Firebase,Tracking,Analytics and Advertising,No consent banner,Premium
ChatGPT,"chatgpt.com, openai.com",mobile,firebaselogging.googleapis.com,Google Firebase,Tracking,Analytics and Advertising,No consent banner,Free
ChatGPT,"chatgpt.com, openai.com",mobile,firebaselogging.googleapis.com,Google Firebase,Tracking,Analytics and Advertising,No consent banner,Premium
ChatGPT,"chatgpt.com, openai.com",mobile,irp.cdn-website.com,Intercom,Tracking,Authentication,No consent banner,Free
ChatGPT,"chatgpt.com, openai.com",mobile,o33249.ingest.sentry.io,Sentry,Tracking,Analytics and Advertising,No consent banner,No Auth
ChatGPT,"chatgpt.com, openai.com",mobile,o33249.ingest.sentry.io,Sentry,Tracking,Analytics and Advertising,No consent banner,Free
ChatGPT,"chatgpt.com, openai.com",mobile,o33249.ingest.sentry.io,Sentry,Tracking,Analytics and Advertising,No consent banner,Premium
ChatGPT,"chatgpt.com, openai.com",mobile,persistent.oaistatic.com,First-party,,,No consent banner,Free
ChatGPT,"chatgpt.com, openai.com",mobile,t2.gstatic.com,Google Cloud,,,No consent banner,No Auth
ChatGPT,"chatgpt.com, openai.com",mobile,t2.gstatic.com,Google Cloud,,,No consent banner,Free
ChatGPT,"chatgpt.com, openai.com",browser,accounts.google.com,Google Accounts,Tracking,Authentication,Reject All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,accounts.google.com,Google Accounts,Tracking,Authentication,Reject All,Free
ChatGPT,"chatgpt.com, openai.com",browser,accounts.google.com,Google Accounts,Tracking,Authentication,Reject All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,auth-cdn.oaistatic.com,First-party,Cloud/CDN,,Reject All,Free
ChatGPT,"chatgpt.com, openai.com",browser,auth-cdn.oaistatic.com,First-party,Cloud/CDN,,Reject All,Premium
ChatGPT,anakytics.tw,browser,auth.openai.com.cdn.cloudflare.net,First-party,Cloud/CDN,,Reject All,Free
ChatGPT,"chatgpt.com, openai.com",browser,auth.openai.com.cdn.cloudflare.net,First-party,Cloud/CDN,,Reject All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,browser-intake-datadoghq.com,Datadog,Tracking,,Reject All,Free
ChatGPT,"chatgpt.com, openai.com",browser,browser-intake-datadoghq.com,Datadog,Tracking,,Reject All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,cdn.auth0.com,Auth0 Inc.,Tracking,Authentication,Reject All,Free
ChatGPT,"chatgpt.com, openai.com",browser,cdn.auth0.com,Auth0 Inc.,Tracking,Authentication,Reject All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,fonts.gstatic.com,Google API,,,Reject All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,fonts.gstatic.com,Google API,,,Reject All,Free
ChatGPT,"chatgpt.com, openai.com",browser,fonts.gstatic.com,Google API,,,Reject All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,ogads-pa.clients6.google.com,Google Ads,Tracking,Analytics and Advertising,Reject All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,ogads-pa.clients6.google.com,Google Ads,Tracking,Analytics and Advertising,Reject All,Free
ChatGPT,"chatgpt.com, openai.com",browser,ogads-pa.clients6.google.com,Google Ads,Tracking,Analytics and Advertising,Reject All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,openaiassets.azureedge.net,Microsoft Azure,Cloud/CDN,,Reject All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,openaiassets.azureedge.net,Microsoft Azure,Cloud/CDN,,Reject All,Free
ChatGPT,"chatgpt.com, openai.com",browser,openaiassets.azureedge.net,Microsoft Azure,Cloud/CDN,,Reject All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,play.google.com,Other,,,Reject All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,sentinel.openai.com.cdn.cloudflare.net,First-party,,,Reject All,Free
ChatGPT,"chatgpt.com, openai.com",browser,sentinel.openai.com.cdn.cloudflare.net,First-party,,,Reject All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,www.google.com,Google Search,Tracking,Analytics and Advertising,Reject All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,www.google.com,Google Search,Tracking,Analytics and Advertising,Reject All,Free
ChatGPT,"chatgpt.com, openai.com",browser,www.google.com,Google Search,Tracking,Analytics and Advertising,Reject All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,www.googleadservices.com,Google Ads,Tracking,Analytics and Advertising,Reject All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,www.googleadservices.com,Google Ads,Tracking,Analytics and Advertising,Reject All,Free
ChatGPT,"chatgpt.com, openai.com",browser,www.googleadservices.com,Google Ads,Tracking,Analytics and Advertising,Reject All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,www.googletagmanager.com,Google Tag Manager,Tracking,Analytics and Advertising,Reject All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,www.googletagmanager.com,Google Tag Manager,Tracking,Analytics and Advertising,Reject All,Free
ChatGPT,"chatgpt.com, openai.com",browser,www.googletagmanager.com,Google Tag Manager,Tracking,Analytics and Advertising,Reject All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,www.gstatic.com,Google Cloud,,,Reject All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,www.gstatic.com,Google Cloud,,,Reject All,Free
ChatGPT,"chatgpt.com, openai.com",browser,www.gstatic.com,Google Cloud,,,Reject All,Premium
Claude,"anthropic.com, claude.ai",browser,accounts.google.com,Google Accounts,Tracking,Authentication,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,accounts.google.com,Google Accounts,Tracking,Authentication,Accept All,Premium
